participant,level,obj,x,y,success
6693df690cbd52bc4cbf870d,Comp_GapCatapult,489.0,545.0,obj3,0
6693df690cbd52bc4cbf870d,Comp_SoCloseLaunch,358.0,434.0,obj2,0
6693df690cbd52bc4cbf870d,Comp_SoCloseLaunch,429.0,432.0,obj3,0
6693df690cbd52bc4cbf870d,Comp_SoCloseLaunch,427.0,424.0,obj3,0
6693df690cbd52bc4cbf870d,Comp_UnboxSlope,371.0,418.0,obj2,0
6693df690cbd52bc4cbf870d,Comp_UnboxSlope,407.0,396.0,obj3,0
6693df690cbd52bc4cbf870d,Comp_UnboxSlope,426.0,449.0,obj1,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_0,185.0,234.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_0,99.0,246.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_0,149.0,232.0,obj1,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_1,127.0,187.0,obj3,1
6693df690cbd52bc4cbf870d,Mech_Launch_v2_2,419.0,400.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_2,416.0,400.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_2,540.0,406.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_3,226.0,295.0,obj3,1
6693df690cbd52bc4cbf870d,Mech_Launch_v2_4,400.0,265.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_4,398.0,273.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_Launch_v2_4,389.0,278.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_SoClose_0,46.0,495.0,obj1,0
6693df690cbd52bc4cbf870d,Mech_SoClose_0,62.0,503.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_SoClose_0,26.0,506.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_SoClose_1,508.0,422.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_SoClose_1,481.0,392.0,obj1,0
6693df690cbd52bc4cbf870d,Mech_SoClose_1,443.0,394.0,obj1,0
